,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,First component,Second component,distance
0,0,0,0,Cell,Cell,47.91182222222222
1,1,1,1,Cell,yeast,56.74666666666667
2,2,2,2,Cell,Intake,50.58724637681159
3,3,3,3,Cell,c4,74.61641025641026
4,4,4,4,Cell,compartment_,52.64666666666667
5,5,5,5,Cell,compartment,70.75857142857143
6,6,6,6,Cell,c1,116.32266666666666
7,7,7,7,Cell,mitochondria,76.94666666666667
8,8,8,8,Cell,MLN,50.28606060606061
9,9,9,9,Cell,_1,51.12
10,10,10,10,Cell,endosomes,130.88
11,11,11,11,Cell,compartment_3,69.66526315789474
12,12,12,12,Cell,Vesicle,52.84190476190477
13,13,13,13,Cell,plasma,84.59333333333333
14,14,14,14,Cell,Lumen,50.28606060606061
15,15,15,15,Cell,compartment_0,62.43298850574714
16,16,16,16,Cell,cytoplasm,61.94885245901639
17,17,17,17,Cell,LP,50.28606060606061
18,18,18,18,Cell,cytosol,75.11511627906977
19,19,19,19,Cell,default,73.86359201773836
20,20,20,20,Cell,compartment_0000001,52.22222222222222
21,21,21,21,Cell,glycosome,69.9676595744681
22,22,22,22,Cell,Brain,52.50222222222222
23,23,23,23,Cell,def,72.12117962466488
24,24,24,24,Cell,chloroplast,75.54981481481481
25,25,25,25,Cell,c2,61.69942857142857
26,26,26,26,Cell,extracellular,233.872449122807
27,27,27,27,Cell,Lysosome,52.84190476190477
28,28,28,28,Cell,mwe9501423_9fb4_494b_b5b6_288f3fcb17b5,121.22957345971564
29,29,29,29,Cell,Neuron,53.00888888888889
30,30,30,30,Cell,Neuronal_cytosol,52.84190476190477
31,31,31,31,Cell,c,53.272
32,32,32,32,Cell,mw53ffe9e6_beef_45c4_90a5_a79197ed506e,121.22957345971564
33,33,33,33,Cell,synapse,50.77
34,34,34,34,Cell,Proteasome,52.84190476190477
35,35,35,35,Cell,_3,51.12
36,36,36,36,Cell,endosome,52.44
37,37,37,37,Cell,Intestine,50.58724637681159
38,38,38,38,Cell,intracellular,346.71431235431237
39,39,39,39,Cell,Plasma,50.58724637681159
40,40,40,40,Cell,dnabound,63.075774134790535
41,41,41,41,Cell,VMAT,204.5117948717949
42,42,42,42,Cell,PeripheralTissue,50.58724637681159
43,43,43,43,Cell,mw8fbcbf3b_47d8_4adc_8ad4_f9fc547d3e87,121.22957345971564
44,44,44,44,Cell,body,51.45866666666666
