,First component,Second component,distance
0,HepaticTissue,HepaticTissue,14.703213610586012
1,HepaticTissue,cell_1,15.043478260869565
2,HepaticTissue,compartment_3,54.066933638443935
3,HepaticTissue,Lumen,24.25691699604743
4,HepaticTissue,compartment_4,38.19352088661552
5,HepaticTissue,Proteasome,33.701863354037265
6,HepaticTissue,blood,64.35826086956521
7,HepaticTissue,cytosol,64.77275025278058
8,HepaticTissue,extracellular,243.14540045766591
9,HepaticTissue,Intake,14.703213610586012
10,HepaticTissue,system,32.20289855072464
11,HepaticTissue,endosomal_membrane,141.1086956521739
12,HepaticTissue,Vesicle,33.701863354037265
13,HepaticTissue,phloem,19.08695652173913
14,HepaticTissue,endosome,26.034782608695654
15,HepaticTissue,venous_balloon,50.72391304347826
16,HepaticTissue,PeripheralTissue,14.703213610586012
17,HepaticTissue,mito,65.71437198067633
18,HepaticTissue,Autophagosome,33.701863354037265
19,HepaticTissue,plasma_membrane,141.1086956521739
20,HepaticTissue,c3,46.09813664596273
21,HepaticTissue,V,62.268115942028984
22,HepaticTissue,lysosomes,141.1086956521739
23,HepaticTissue,compartment_1,73.80898470432373
24,HepaticTissue,endosomes,141.1086956521739
25,HepaticTissue,synapse,13.793478260869565
26,HepaticTissue,Spine,20.55072463768116
27,HepaticTissue,compartment,48.49741200828157
28,HepaticTissue,vacuole,19.08695652173913
29,HepaticTissue,mw8fbcbf3b_47d8_4adc_8ad4_f9fc547d3e87,128.80465691324954
30,HepaticTissue,chloroplast,65.8659420289855
31,HepaticTissue,glycosome,52.506012950971325
32,HepaticTissue,c4,57.58862876254181
33,HepaticTissue,c,26.52173913043478
34,HepaticTissue,Golgi,65.57971014492753
35,HepaticTissue,ERlumen,65.57971014492753
36,HepaticTissue,_1,20.677018633540374
37,HepaticTissue,Plasma,14.703213610586012
38,HepaticTissue,yeast,19.08695652173913
39,HepaticTissue,VCYT,207.35785953177256
40,HepaticTissue,compartment_,15.054347826086957
41,HepaticTissue,Intestine,14.703213610586012
