,First component,Second component,distance
0,GO:0007173,GO:0007173,3.686350670229637
1,GO:0007173,GO:0010506,2.0894424501563846
2,GO:0007173,GO:0072378,2.7101069394572526
3,GO:0007173,GO:0050829,2.740173350041771
4,GO:0007173,GO:0040014,2.725575119220749
5,GO:0007173,GO:0044419,2.257135707529435
6,GO:0007173,GO:0030157,2.9703061488775777
7,GO:0007173,GO:0008588,2.7588579291365676
8,GO:0007173,GO:0009873,2.508473580442607
9,GO:0007173,GO:0006973,2.8151658844579606
10,GO:0007173,GO:0051098,2.749128889277054
11,GO:0007173,GO:0004915,2.2777712183816803
12,GO:0007173,GO:0038146,3.9665582883462145
13,GO:0007173,GO:0006956,2.83880884711596
14,GO:0007173,GO:0019221,3.39895447195667
15,GO:0007173,GO:0007265,3.7020503090633654
16,GO:0007173,GO:0019227,2.6468289925397768
17,GO:0007173,GO:0008292,2.7232442122148006
18,GO:0007173,GO:0000278,2.520521324328407
19,GO:0007173,GO:0019722,2.9430222037215295
20,GO:0007173,GO:0045222,2.3672695926381695
21,GO:0007173,GO:1900271,3.1193358222253993
22,GO:0007173,GO:0051726,2.790318388325354
23,GO:0007173,GO:0030968,2.6126340297578015
24,GO:0007173,GO:0016563,2.9714332451174554
25,GO:0007173,GO:0031016,2.877847416416484
26,GO:0007173,GO:0051321,3.195094429607823
27,GO:0007173,GO:0038160,3.6268373512424374
28,GO:0007173,GO:0070841,2.7257735988480283
29,GO:0007173,GO:0006970,2.689563527019593
30,GO:0007173,GO:0000165,3.1480325968059852
31,GO:0007173,GO:1902903,3.237731410260519
32,GO:0007173,GO:0019395,2.9149286291371066
33,GO:0007173,GO:0007050,2.636195829516786
34,GO:0007173,GO:0046685,2.3935295132545775
35,GO:0007173,GO:0016567,2.9444645372299716
36,GO:0007173,GO:1901554,2.0493336922869836
37,GO:0007173,GO:0010628,3.1377118704186375
38,GO:0007173,GO:0042417,2.5825027379372805
39,GO:0007173,GO:0000096,2.531692447920999
40,GO:0007173,GO:0071470,2.6789519467590814
41,GO:0007173,GO:0046656,3.265851789349232
42,GO:0007173,GO:0042698,2.2778111853981815
43,GO:0007173,GO:0032313,2.800999461569525
44,GO:0007173,GO:0006098,2.905342679336487
45,GO:0007173,GO:1900452,3.122682916762623
46,GO:0007173,GO:0060086,2.2889753960445396
47,GO:0007173,GO:0019253,2.910439292676135
48,GO:0007173,GO:0008152,2.7642431546065778
49,GO:0007173,GO:0031915,3.701415920836376
50,GO:0007173,GO:0006096,2.523143522209682
51,GO:0007173,GO:0051414,2.892202325459381
52,GO:0007173,GO:1900407,2.397727955477316
53,GO:0007173,GO:0034205,2.3813452951417347
54,GO:0007173,GO:0006955,2.9070367146764893
55,GO:0007173,GO:0033355,3.5030877382851067
56,GO:0007173,GO:0007623,2.5655712327088014
57,GO:0007173,GO:0050790,2.0166539537248918
58,GO:0007173,GO:0006091,2.2828074896566615
59,GO:0007173,GO:0034696,2.307691035284402
60,GO:0007173,GO:0036363,1.0882352941176472
61,GO:0007173,GO:0005739,2.7556805297876728
62,GO:0007173,GO:0019372,2.938137275112065
63,GO:0007173,GO:0061621,2.8578301383501725
64,GO:0007173,GO:0008653,2.6570282221480235
65,GO:0007173,GO:0008286,2.516676849645621
66,GO:0007173,GO:0022402,3.290387585124427
67,GO:0007173,GO:0004722,3.569259787913038
68,GO:0007173,GO:0006281,2.5641954917932086
69,GO:0007173,GO:0006412,1.5657124838239391
70,GO:0007173,GO:0005513,3.6182300818421886
71,GO:0007173,GO:0009628,3.6427097154651333
72,GO:0007173,GO:0005248,2.860178418059117
73,GO:0007173,GO:0030163,2.7264250197686732
74,GO:0007173,GO:0032869,2.2125564175513466
75,GO:0007173,GO:0030193,2.5817632917146085
76,GO:0007173,GO:0046718,2.850335327367662
77,GO:0007173,GO:0072574,2.9951409391770567
78,GO:0007173,GO:0007267,2.963126078604817
79,GO:0007173,GO:0005249,2.872776350040282
80,GO:0007173,GO:0019222,2.140692682404218
81,GO:0007173,GO:0031639,3.7428744202128073
82,GO:0007173,GO:0038029,2.211349257822538
83,GO:0007173,GO:0000302,2.825513424197635
84,GO:0007173,GO:0007596,3.044298597672201
85,GO:0007173,GO:0007259,2.5928771068198584
86,GO:0007173,GO:0006595,2.5485405166317805
87,GO:0007173,GO:0009649,2.610028542771846
88,GO:0007173,GO:0048167,3.014600910662575
89,GO:0007173,GO:0006935,2.842986870861705
90,GO:0007173,GO:0001666,2.6371354018981954
91,GO:0007173,GO:0009736,2.340308605123856
92,GO:0007173,GO:0016236,2.3448444830023774
93,GO:0007173,GO:0045087,2.9783934806313326
94,GO:0007173,GO:0010468,2.467451071127104
95,GO:0007173,GO:0097210,2.337670531959563
96,GO:0007173,GO:0007179,2.777766707799013
97,GO:0007173,GO:0000161,2.6938933410796615
98,GO:0007173,GO:0036333,2.3524136088709717
99,GO:0007173,GO:0004683,3.6199260405916753
100,GO:0007173,GO:0019058,2.6637256689333015
101,GO:0007173,GO:2000772,2.3048861745086002
102,GO:0007173,GO:0005516,3.7557531748079347
103,GO:0007173,GO:0043161,2.5992610146745485
104,GO:0007173,GO:0030217,2.6885815058737634
105,GO:0007173,GO:2000479,2.0846137577724067
106,GO:0007173,GO:0009814,2.590507737244443
107,GO:0007173,GO:0000114,3.681112317335227
108,GO:0007173,GO:0040020,3.119260194263908
109,GO:0007173,GO:0008203,1.7232450962116033
110,GO:0007173,GO:0004971,2.4307611933662354
111,GO:0007173,GO:0043491,2.0504529766509845
112,GO:0007173,GO:0070482,2.7732103188941077
113,GO:0007173,GO:0061684,2.5394345674666043
114,GO:0007173,GO:0031575,3.4412885302978182
115,GO:0007173,GO:0006099,2.2671824618250787
116,GO:0007173,GO:0009734,2.4824227238712067
117,GO:0007173,GO:0001867,2.8444315445476436
118,GO:0007173,GO:0042752,2.7530517878047833
119,GO:0007173,GO:0070102,3.6893101738302976
120,GO:0007173,GO:0002456,2.795221040373395
121,GO:0007173,GO:0006119,2.455205415438781
122,GO:0007173,GO:0006690,3.1891342575553105
123,GO:0007173,GO:0035559,2.416317930734407
124,GO:0007173,GO:0007571,1.7907319332744311
125,GO:0007173,GO:0030383,2.5698210673055875
126,GO:0007173,GO:0034079,2.3676492725005316
127,GO:0007173,GO:0060333,2.456686958813759
128,GO:0007173,GO:0002376,3.0805613184529634
129,GO:0007173,GO:0006749,3.0130672094092477
130,GO:0007173,GO:0070053,1.5025062656641606
131,GO:0007173,GO:0006958,2.9460722761548355
132,GO:0007173,GO:1901576,2.424952427094932
133,GO:0007173,GO:0042987,2.5656539882546077
134,GO:0010506,GO:0007173,2.0920652722097204
135,GO:0010506,GO:0010506,2.758753280659635
136,GO:0010506,GO:0072378,1.662529097311706
137,GO:0010506,GO:0050829,1.6017728295257292
138,GO:0010506,GO:0040014,1.7130976763174903
139,GO:0010506,GO:0044419,1.84314729762654
140,GO:0010506,GO:0030157,1.596480371480372
141,GO:0010506,GO:0008588,2.0429614925516875
142,GO:0010506,GO:0009873,2.1118759349841176
143,GO:0010506,GO:0006973,1.7795809526694086
144,GO:0010506,GO:0051098,1.5883667046023366
145,GO:0010506,GO:0004915,2.0622011966237297
146,GO:0010506,GO:0038146,2.1595576445888343
147,GO:0010506,GO:0006956,1.5488640147731059
148,GO:0010506,GO:0019221,2.1377414813733373
149,GO:0010506,GO:0007265,1.6759759097684797
150,GO:0010506,GO:0019227,1.4793963042024318
151,GO:0010506,GO:0008292,2.694635431440987
152,GO:0010506,GO:0000278,1.9603141675152547
153,GO:0010506,GO:0019722,2.014930567535472
154,GO:0010506,GO:0045222,1.830382975584214
155,GO:0010506,GO:1900271,1.5572905630159994
156,GO:0010506,GO:0051726,2.224777112226505
