,Unnamed: 0,Unnamed: 0.1,First component,Second component,distance
0,4884,4884,GO:1901554,GO:0036363,100.0
7,7674,7674,GO:0050790,GO:1901554,100.0
11,17480,17480,GO:0070053,GO:0036363,100.0
10,17456,17456,GO:0070053,GO:1901554,100.0
9,17477,17477,GO:0070053,GO:0050790,100.0
8,8170,8170,GO:0036363,GO:0070053,100.0
1,4954,4954,GO:1901554,GO:0070053,100.0
6,8097,8097,GO:0036363,GO:0050790,100.0
4,8076,8076,GO:0036363,GO:1901554,100.0
3,4881,4881,GO:1901554,GO:0050790,100.0
2,7768,7768,GO:0050790,GO:0070053,100.0
5,7698,7698,GO:0050790,GO:0036363,100.0
15,15342,15342,GO:0031575,GO:0022402,16.666666666666664
16,8951,8951,GO:0022402,GO:0000114,16.666666666666664
17,15383,15383,GO:0031575,GO:0000114,16.666666666666664
14,14404,14404,GO:0000114,GO:0022402,16.666666666666664
12,14452,14452,GO:0000114,GO:0031575,16.666666666666664
13,8958,8958,GO:0022402,GO:0031575,16.666666666666664
18,9569,9569,GO:0009628,GO:0033355,12.5
19,7441,7441,GO:0033355,GO:0009628,12.5
21,2338,2338,GO:0008292,GO:0036363,11.706349206349206
20,2408,2408,GO:0008292,GO:0070053,11.706349206349206
22,4190,4190,GO:1902903,GO:1901554,11.607142857142858
23,8071,8071,GO:0036363,GO:1902903,11.428571428571427
24,4284,4284,GO:1902903,GO:0070053,11.25
25,8875,8875,GO:0022402,GO:1902903,10.884920634920638
26,15307,15307,GO:0031575,GO:1902903,10.821428571428573
27,4268,4268,GO:1902903,GO:0031575,10.791666666666664
28,17437,17437,GO:0070053,GO:0008292,10.734126984126984
29,7669,7669,GO:0050790,GO:1902903,10.714285714285717
30,4841,4841,GO:1901554,GO:0008292,10.694444444444443
31,4220,4220,GO:1902903,GO:0022402,10.634920634920636
32,8057,8057,GO:0036363,GO:0008292,10.456349206349207
33,4261,4261,GO:1902903,GO:0000114,10.345238095238095
35,4855,4855,GO:1901554,GO:1902903,10.178571428571429
34,4211,4211,GO:1902903,GO:0050790,10.178571428571429
36,14369,14369,GO:0000114,GO:1902903,10.148809523809524
37,7655,7655,GO:0050790,GO:0008292,10.138888888888893
38,4214,4214,GO:1902903,GO:0036363,9.107142857142858
39,1859,1859,GO:0006956,GO:0001867,9.090909090909092
40,14448,14448,GO:0000114,GO:0004971,9.087301587301585
41,15809,15809,GO:0001867,GO:0006958,9.072727272727274
42,17567,17567,GO:0006958,GO:0006956,9.063636363636364
43,15691,15691,GO:0001867,GO:0006956,9.050505050505052
44,17671,17671,GO:0006958,GO:0001867,9.046015712682381
45,2314,2314,GO:0008292,GO:1901554,9.027777777777779
46,1873,1873,GO:0006956,GO:0006958,8.971969696969698
47,4171,4171,GO:1902903,GO:0008292,8.836451247165533
48,14806,14806,GO:0004971,GO:0022402,8.797619047619047
49,15386,15386,GO:0031575,GO:0004971,8.634920634920636
50,8954,8954,GO:0022402,GO:0004971,8.619047619047619
51,1400,1400,GO:0051098,GO:0036363,8.561771561771563
52,14847,14847,GO:0004971,GO:0000114,8.45238095238095
53,1376,1376,GO:0051098,GO:1901554,8.383449883449883
54,8050,8050,GO:0036363,GO:0051098,8.34015984015984
55,14854,14854,GO:0004971,GO:0031575,8.337301587301585
56,7648,7648,GO:0050790,GO:0051098,8.325008325008326
57,4834,4834,GO:1901554,GO:0051098,8.130203130203133
58,2309,2309,GO:0008292,GO:1902903,8.075396825396826
59,8861,8861,GO:0022402,GO:0008292,8.0
60,15293,15293,GO:0031575,GO:0008292,7.944444444444445
61,2385,2385,GO:0008292,GO:0000114,7.906084656084657
62,1470,1470,GO:0051098,GO:0070053,7.864468864468861
63,17451,17451,GO:0070053,GO:1902903,7.857142857142858
64,1397,1397,GO:0051098,GO:0050790,7.823676323676324
65,2392,2392,GO:0008292,GO:0031575,7.777777777777778
66,14355,14355,GO:0000114,GO:0008292,7.777777777777778
67,2335,2335,GO:0008292,GO:0050790,7.777777777777778
68,2344,2344,GO:0008292,GO:0022402,7.643518518518517
69,17430,17430,GO:0070053,GO:0051098,7.36996336996337
70,2388,2388,GO:0008292,GO:0004971,7.3015873015873
71,8898,8898,GO:0022402,GO:0006955,7.0120573870573875
72,12366,12366,GO:0016236,GO:0042417,6.9996981040937065
73,14356,14356,GO:0000114,GO:0000278,6.992424242424242
74,16864,16864,GO:0030383,GO:0031575,6.9524335958159496
75,13112,13112,GO:0000161,GO:0031575,6.948051948051949
76,11188,11188,GO:0000302,GO:0022402,6.936831142713497
77,7302,7302,GO:0006955,GO:0022402,6.927600177600177
78,14771,14771,GO:0004971,GO:1902903,6.904761904761902
79,5195,5195,GO:0042417,GO:0043161,6.883568812140241
80,5205,5205,GO:0042417,GO:0061684,6.8183794227750285
81,14757,14757,GO:0004971,GO:0008292,6.805059523809524
82,5184,5184,GO:0042417,GO:0016236,6.788069073783362
83,15234,15234,GO:0061684,GO:0016236,6.768626977418183
84,15294,15294,GO:0031575,GO:0000278,6.7648046398046375
85,13894,13894,GO:0043161,GO:0016236,6.7642595499738345
86,13840,13840,GO:0043161,GO:0042417,6.7619550778891435
87,7376,7376,GO:0033355,GO:0030157,6.760263545977831
