,Unnamed: 0,First component,Second component,distance
11632,11632,GO:1901576,GO:0006412,419.0261780104712
14558,14558,GO:0006412,GO:1901576,419.0261780104712
2788,2788,GO:0008152,GO:0006412,418.08318890814553
14492,14492,GO:0006412,GO:0008152,418.08318890814553
14554,14554,GO:0006412,GO:0019222,343.34523809523813
11096,11096,GO:0019222,GO:0006412,343.34523809523813
14555,14555,GO:0006412,GO:0043491,343.34523809523813
11230,11230,GO:0043491,GO:0006412,343.34523809523813
14494,14494,GO:0006412,GO:0045222,342.22916666666674
3056,3056,GO:0045222,GO:0006412,342.22916666666674
14594,14594,GO:0006412,GO:0034079,342.04761904761915
16456,16456,GO:0034079,GO:0006412,342.04761904761915
644,644,GO:0005739,GO:0006412,340.69230769230774
14477,14477,GO:0006412,GO:0019395,340.69230769230774
778,778,GO:0019395,GO:0006412,340.69230769230774
14476,14476,GO:0006412,GO:0005739,340.69230769230774
242,242,GO:0051098,GO:0006412,330.66666666666663
14473,14473,GO:0006412,GO:0051098,330.66666666666663
8148,8148,GO:0034696,GO:0006412,328.5119047619048
14532,14532,GO:0006412,GO:0034696,328.5119047619048
14493,14493,GO:0006412,GO:0030217,327.0757575757576
2922,2922,GO:0030217,GO:0006412,327.0757575757576
15920,15920,GO:0070053,GO:0006412,324.00000000000006
13642,13642,GO:1901554,GO:0006412,324.00000000000006
14590,14590,GO:0006412,GO:0070053,324.00000000000006
14589,14589,GO:0006412,GO:0036363,324.00000000000006
10962,10962,GO:0050790,GO:0006412,324.00000000000006
14553,14553,GO:0006412,GO:0050790,324.00000000000006
15786,15786,GO:0036363,GO:0006412,324.00000000000006
14573,14573,GO:0006412,GO:1901554,324.00000000000006
14569,14569,GO:0006412,GO:0016563,322.00000000000006
14570,14570,GO:0006412,GO:0010628,322.00000000000006
13106,13106,GO:0016563,GO:0006412,322.00000000000006
13240,13240,GO:0010628,GO:0006412,322.00000000000006
14529,14529,GO:0006412,GO:0051726,321.66666666666663
7746,7746,GO:0051726,GO:0006412,321.66666666666663
2118,2118,GO:0031575,GO:0006412,318.00000000000006
108,108,GO:0022402,GO:0006412,318.00000000000006
1314,1314,GO:0031639,GO:0006412,318.00000000000006
14472,14472,GO:0006412,GO:0022402,318.00000000000006
14481,14481,GO:0006412,GO:0031639,318.00000000000006
14487,14487,GO:0006412,GO:0031575,318.00000000000006
4396,4396,GO:0008292,GO:0006412,317.50000000000006
14504,14504,GO:0006412,GO:0008292,317.50000000000006
12704,12704,GO:0004971,GO:0006412,317.25000000000006
14566,14566,GO:0006412,GO:0004971,317.25000000000006
14587,14587,GO:0006412,GO:0030157,316.66666666666663
15518,15518,GO:0030157,GO:0006412,316.66666666666663
