,First component,Second component,distance
0,cellMembrane,cellMembrane,0.0
1,cellMembrane,cell_1,0.0
2,cellMembrane,Compartment__cell,0.0
3,cellMembrane,extra,0.0
4,cellMembrane,c,0.0
5,cellMembrane,apical,0.0
6,cellMembrane,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,0.0
7,cellMembrane,EC,0.0
8,cellMembrane,Lysosome,0.0
9,cellMembrane,lumen,0.0
10,cell_1,cellMembrane,0.0
11,cell_1,cell_1,25.0
12,cell_1,Compartment__cell,0.0
13,cell_1,extra,18.625
14,cell_1,c,15.833333333333334
15,cell_1,apical,0.0
16,cell_1,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,0.0
17,cell_1,EC,0.0
18,cell_1,Lysosome,24.0
19,cell_1,lumen,19.5
20,Compartment__cell,cellMembrane,0.0
21,Compartment__cell,cell_1,0.0
22,Compartment__cell,Compartment__cell,0.0
23,Compartment__cell,extra,0.0
24,Compartment__cell,c,0.0
25,Compartment__cell,apical,0.0
26,Compartment__cell,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,0.0
27,Compartment__cell,EC,0.0
28,Compartment__cell,Lysosome,0.0
29,Compartment__cell,lumen,0.0
30,extra,cellMembrane,0.0
31,extra,cell_1,18.625
32,extra,Compartment__cell,0.0
33,extra,extra,61.9375
34,extra,c,23.166666666666668
35,extra,apical,0.0
36,extra,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,0.0
37,extra,EC,0.0
38,extra,Lysosome,34.875
39,extra,lumen,37.0
40,c,cellMembrane,0.0
41,c,cell_1,15.833333333333334
42,c,Compartment__cell,0.0
43,c,extra,23.166666666666668
44,c,c,29.555555555555557
45,c,apical,0.0
46,c,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,0.0
47,c,EC,0.0
48,c,Lysosome,24.0
49,c,lumen,30.333333333333332
50,apical,cellMembrane,0.0
51,apical,cell_1,0.0
52,apical,Compartment__cell,0.0
53,apical,extra,0.0
54,apical,c,0.0
55,apical,apical,0.0
56,apical,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,0.0
57,apical,EC,0.0
58,apical,Lysosome,0.0
59,apical,lumen,0.0
60,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,cellMembrane,0.0
61,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,cell_1,0.0
62,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,Compartment__cell,0.0
63,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,extra,0.0
64,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,c,0.0
65,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,apical,0.0
66,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,0.0
67,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,EC,0.0
68,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,Lysosome,0.0
69,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,lumen,0.0
70,EC,cellMembrane,0.0
71,EC,cell_1,0.0
72,EC,Compartment__cell,0.0
73,EC,extra,0.0
74,EC,c,0.0
75,EC,apical,0.0
76,EC,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,0.0
77,EC,EC,0.0
78,EC,Lysosome,0.0
79,EC,lumen,0.0
80,Lysosome,cellMembrane,0.0
81,Lysosome,cell_1,24.0
82,Lysosome,Compartment__cell,0.0
83,Lysosome,extra,34.875
84,Lysosome,c,24.0
85,Lysosome,apical,0.0
86,Lysosome,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,0.0
87,Lysosome,EC,0.0
88,Lysosome,Lysosome,100.0
89,Lysosome,lumen,37.0
90,lumen,cellMembrane,0.0
91,lumen,cell_1,19.5
92,lumen,Compartment__cell,0.0
93,lumen,extra,37.0
94,lumen,c,30.333333333333332
95,lumen,apical,0.0
96,lumen,mw0cba5a10_f303_4c95_aaf1_b6f942374d31,0.0
97,lumen,EC,0.0
98,lumen,Lysosome,37.0
99,lumen,lumen,100.0
